name,owner,address,phone,product_id
Chatterbridge,Jacquelyn Harbisher,6222 Elgar Parkway,696-250-6777,26
Zoomzone,Petr Rodenburgh,09 Menomonie Crossing,929-736-3423,109
Fivebridge,Jessamyn Yate,7989 Butterfield Point,254-833-5094,13
Thoughtbridge,Bruno Ranstead,861 Pearson Junction,640-712-1086,13
Zoovu,Noami Tanguy,3 Waxwing Alley,479-998-7423,118
Zoomlounge,Joelie Champness,957 Heath Alley,240-310-2464,100
Dabvine,Alica Blight,042 Randy Plaza,911-177-3934,73
Roodel,Fransisco Floyed,1 John Wall Avenue,471-281-3115,2
Zoomdog,Terra Belsey,39754 Butterfield Junction,739-348-9316,127
Browsetype,Bernie Keenan,2719 Forest Dale Circle,972-650-7775,113
Skyble,Shara Fridaye,1 Sunnyside Pass,387-987-8117,16
Flipstorm,Hendrick Cramond,379 Spohn Crossing,923-437-7913,38
Rooxo,Calla McCullock,044 4th Junction,116-924-7644,15
Fliptune,Krista Haxby,6 Killdeer Trail,840-112-7365,38
Abatz,Maddalena Kelbie,051 Twin Pines Junction,982-100-2640,87
Divape,Ewart Crichmer,1 Northwestern Terrace,937-502-3244,31
Ntag,Langsdon Messum,65873 Brickson Park Center,380-905-3510,109
Oyoyo,Sharai Etchell,28117 Mallory Trail,300-975-8008,59
Yotz,Hedy Rickert,076 Melvin Park,534-976-3129,101
Eadel,Parrnell Luckwell,5 Hollow Ridge Terrace,265-534-7900,88
Bubbletube,Ambrose Apps,95 Homewood Center,425-953-0958,14
Centidel,Dukey Cumes,7 Haas Plaza,843-800-2707,2
Dabshots,Dominik Shoesmith,89490 Welch Crossing,412-372-1779,98
Livetube,Megen Tacey,25 Iowa Point,216-218-1748,57
Gigaclub,Moore Brumhead,40679 Harbort Place,574-276-1694,85
Snaptags,Cherye Elderkin,395 Pine View Junction,145-986-7299,116
Browsetype,Tamarra Peltz,850 Heffernan Park,942-474-5915,81
Gigazoom,Nonnah Trudgian,854 Birchwood Way,797-797-5324,104
Flipbug,Philippe Karolewski,48 Valley Edge Place,966-917-2681,64
Feedmix,Burton Kenright,20622 American Ash Point,172-125-3347,122
Yozio,Alford Mannering,64026 Washington Hill,811-984-0583,12
Yacero,Bartram Graver,873 Hovde Crossing,557-572-8012,123
Tazz,Perice Kaine,3617 Fordem Street,729-285-2487,43
Voolia,Josefina Took,30835 Loeprich Plaza,903-341-0783,41
